認證編號,實驗室名稱,實驗室地址,實驗室電話,實驗室網站,通過日期,認證項目,公告資訊名稱,公告資訊連結,認證證書連結
"083","振泰檢驗科技股份有限公司(振泰檢驗科技股份有限公司實驗室)","221新北市汐止區新台五路1段79號13樓之7","(02)2698-1299轉206","http://www.stst.com.tw/","111.06.16","過氧化氫、著色劑、咖啡因、食米中重金屬(鉛、鎘、汞、砷)、二氧化硫(食品)、維生素C、生菌數、大腸桿菌群、甲基汞(三)、飲料中咖啡因、硼酸及其鹽類、殘留農藥-二硫代胺基甲酸鹽類(二)、仙人掌桿菌、黴菌及酵母菌、沙門氏桿菌、金黃色葡萄球菌、防腐劑、殘留農藥-多重殘留分析(五)、包(盛)裝飲用水中糞便性鏈球菌、包(盛)裝飲用水中綠膿桿菌、包(盛)裝飲用水中大腸桿菌群、乳酸菌、腸炎弧菌、抗氧化劑、蛋類中重金屬(鉛、銅)、食米中無機砷、順丁烯二酸、包裝(盛裝)飲用水及食用冰塊中重金屬(鉛、鎘、汞、砷、銻)、黃麴毒素、亞硝酸鹽、大腸桿菌O157：H7、阪崎腸桿菌、單核球增多性李斯特菌、硝基呋喃代謝物、乙型受體素類、孔雀綠及其代謝產物、氯黴素類、動物用藥-多重殘留分析(二)、腸桿菌科、丙酸、水產品中揮發性鹽基態氮、乳品中李斯特菌、大腸桿菌、水產動物類、禽畜產品類及蜂蜜中重金屬(鉛、鎘)、四環黴素類、赭麴毒素A","衛生福利部111年06月16日衛授食字第1111103818號","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=f637910749493641442&type=4","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=f637910800724446174&type=4"
"084","中山醫學大學(健康科技中心實驗室)","40201台中市南區建國北路一段110號研究大樓 12樓","(04)2473-0022 #11326","http://rc.csmu.edu.tw/files/11-1032-24-1.php?Lang=zh-tw","111.08.22","多環芳香族碳氫化合物、黃麴毒素","衛生福利部111年08月22日 衛授食字第1111105389號","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=f637968651110901793","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=f637910800724446174&type=4"
"086","長榮空廚股份有限公司(微生物檢驗室)","338桃園市大園區航勤北路3號","(03)351-3223","http://www.egsc.com.tw/company/company.htm","111.01.14","黴菌及酵母菌","衛生福利部111年01月14日衛授食字第1111100341D號","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=f637780377088696471&type=4","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=f637781179073341110&type=4"
"087","連江縣衛生局(連江縣衛生局檢驗室)","209連江縣南竿鄉復興村216號","(0836)22095","http://www.matsuhb.gov.tw/index.php","111.05.02","生菌數、大腸桿菌、大腸桿菌群","衛生福利部111年05月02日衛授食字第1119016424號","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=f637872798737898130&type=4","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=f637873695050226573&type=4"
"088","大成長城企業股份有限公司(大成品檢中心)","710台南市永康區蔦松二街3號","(06)253-1111轉6245","http://www.greatwall.com.tw/index.action","111.01.14","氯黴素類","衛生福利部111年01月14日衛授食字第1111100341號","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=f637780377088136739&type=4","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=f637781179074783524&type=4"
"095","台灣檢驗科技股份有限公司(化學實驗室-高雄)","811高雄市楠梓加工出口區開發路61號4樓","(07)301-2121 #4020","http://www.sgs.com.tw/zh-TW/Our-Company/About-SGS/SGS-in-Brief/SGS-in-Taiwan.aspx","111.08.23","材質試驗(鉛、鎘)、溶出試驗(鉛、鎘)、雙酚A、溶出試驗(高錳酸鉀消耗量)、溶出試驗(甲基丙烯酸甲酯單體)、溶出試驗(甲醛)、溶出試驗(蒸發殘渣)、溶出試驗(氯乙烯單體)、溶出試驗(氯仿可溶物)、溶出試驗(酚)、溶出試驗(以Pb計)、溶出試驗(砷)、溶出試驗(鋅)、砷之檢驗(以As計)、溶出試驗(銻、鍺)、材質試驗(鋇)、材質鑑別、材質試驗(螢光增白劑-遷移性螢光物質試驗)、耐熱性試驗、溶出試驗(三聚氰胺)、溶出試驗(總乳酸)、溶出試驗(著色劑)、材質試驗(氯乙烯單體)、材質試驗(二丁錫化物)、材質試驗(甲酚磷酸酯)、材質試驗(苯乙烯、甲苯、乙苯、正丙苯、異丙苯)、材質試驗(偏二氯乙烯單體)、溶出試驗(氯甲代環氧丙烷單體)、溶出試驗(氯乙烯單體)、溶出試驗(BBP、DEHA、DINP、DIDP)、溶出試驗(酚)-哺乳器具除外橡膠類、哺乳器具橡膠類、溶出試驗(鋅)-哺乳器具橡膠類、材質試驗(2-巯基咪唑啉)-哺乳器具除外橡膠類、材質試驗(鉛、鎘)-哺乳器具除外橡膠類、聚甲基丙烯酸甲酯、聚醯胺(尼龍)、聚乙烯、聚丙烯、聚甲基戊烯、溶出試驗(甲基丙烯酸甲酯單體)-聚甲基丙烯酸甲酯、溶出試驗(己內醯胺單體)-聚醯胺(尼龍)、塑膠類食品容器-可塑劑、材質試驗(鉛、鎘)-聚對苯二甲酸乙二酯、材質試驗(鉛、鎘)-聚乳酸、材質試驗(鉛、鎘)-聚苯砜樹酯塑膠類嬰兒奶瓶、材質試驗(鉛、鎘)-聚碳酸酯、材質試驗(鉛、鎘)-聚醚砜樹酯塑膠類嬰兒奶瓶、溶出試驗(甲醛)-未以塑膠淋膜紙類製品、溶出試驗(銻、鍺)-聚對苯二甲酸乙二酯)、溶出試驗(鉛、鎘)-玻璃、陶瓷器、施琺瑯、塑膠類嬰兒奶瓶雙酚A","衛生福利部111年08月23日衛授食字第1111105418號","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=f637973674094894245&type=4","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=f637558980201497969&type=4"
"096","中州科技大學(保健食品研發暨檢驗中心)","510彰化縣員林市山腳路三段2巷6號K101室","(04)8359000#4431","http://www.ccut.edu.tw/adminSection/front/showContent.asp?site_id=researchcenter&m_id=143","109.01.10","水分、粗灰分、粗脂肪、粗蛋白","衛生福利部109年01月10日衛授食字第1081107384號","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=f637145329172837311","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=f637151404506307924"
"098","國立虎尾科技大學(農業與生物科技產品檢驗服務中心)","63201雲林縣虎尾鎮文化路64號","(05)-6312381","http://biotech.nfu.edu.tw/main.php?site_id=18","111.08.22","殘留農藥-殺菌劑二硫代胺基甲酸鹽類(二)、殘留農藥-多重殘留分析(五)、黃麴毒素、赭麴毒素A","衛生福利部111年08月22日衛授食字第1111105385號","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=f637968648714932281","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=f637987672062552185&type=4"
"100","貝爾國際檢測科技股份有限公司(檢測中心)","330桃園市桃園區三民路三段182號B1","(03)-3476680","https://www.facebook.com/貝爾國際檢測科技股份有限公司-1746895708858479/","111.06.01","防腐劑、順丁烯二酸、蔬果類重金屬(鉛、鎘)、四環黴素類、生菌數、大腸桿菌群、孔雀綠及其代謝產物、包裝(盛裝)飲用水及食用冰塊中重金屬(鉛、鎘、汞、砷、銻)、殘留農藥-殺菌劑二硫代胺基甲酸鹽類(二)、殘留農藥-多重殘留分析(五)、黃麴毒素、蔬果植物、果醬及果凍中重金屬(鉛、鎘、汞)、菇蕈類中重金屬(鉛、鎘)、乙型受體素類、腸桿菌科、水產品中揮發性鹽基態氮","衛生福利部111年06月01日衛授食字第1111103400號","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=f637901193318013731&type=4","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=f637901197728223456&type=4"
"101","安諾生物科技股份有限公司(檢驗實驗室)","221新北市汐止區新台五路1段114號19樓","(02)2696-1371","http://www.biotechts.com/","111.04.12","孔雀綠及其代謝物、硝基呋喃代謝物、氯黴素類、四環黴素類、甜味劑(多重)","衛生福利部111年04月12日衛授食字第1110009206號","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=f637855259536890190&type=4","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=f637855267453048225&type=4"
"102","全國公證檢驗股份有限公司(高雄實驗室)","80061高雄市前鎮區復興四路12號10樓之20","(07)536-9895","http://www.ksp.org.tw/search/firm_detail/133","111.01.06","生菌數、大腸桿菌群、金黃色葡萄球菌、沙門氏桿菌、腸桿菌科、乳品中李斯特菌、單核球增多性李斯特菌、大腸桿菌","衛生福利部111年01月06日衛授食字第1106037084號","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=f637773345115528346&type=4","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=f637773347588383831&type=4"
"103","台灣電力股份有限公司(放射試驗室)","253新北市石門區郵政7號信箱","(02)26381068轉211","http://www.taipower.com.tw/","109.08.10","放射性核種(碘-131、銫-134、銫-137)","衛生福利部109年08月10日衛授食字第1091105026號","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=f637328298108636290","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=f637328367291846609"
"104","三信檢驗科技有限公司(三信檢驗科技有限公司實驗室)","202基隆市中正區義一路42號","(02)24258566","http://www.ssinsp.com.tw/","111.07.18","礦物質-鈉、粗脂肪、水分、粗蛋白、二氧化硫(食品)、食品中脂肪酸、防腐劑、過氧化氫、黃麴毒素、粗灰分、糖類(乳糖、半乳糖、葡萄糖、果糖、蔗糖、麥芽糖)","衛生福利部111年07月18日衛授食字第1111104584號","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=f637939968177999301&type=4","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=f637939971823896540&type=4"
"105","統一企業股份有限公司(中壢品管課)","320桃園市中壢區定寧路15號","(03)4523191","http://www.tuugo.tw/Companies/","110.05.20","水分","衛生福利部110年05月20日衛授食字第1101103713號","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=f637575474755260805&type=4","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=f637583178256236156&type=4"
"106","安心食品服務股份有限公司(食品檢驗中心)","104台北市中山區南京東路三段116號3樓","(02)2567-5001","http://csr.mos.com.tw/concept.html","111.03.09","生菌數、大腸桿菌群、金黃色葡萄球菌、腸桿菌科、大腸桿菌","衛生福利部111年03月09日衛授食字第1110005211號","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=f637825248138013252&type=4","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=f637825264284362286&type=4"
"107","統一企業股份有限公司(湖口品管課)","303新竹縣湖口鄉八德路3段30號","(03)5693161#5552","https://www.uni-president.com.tw/other_service/contact.asp","111.03.22","生菌數、大腸桿菌、大腸桿菌群、黴菌及酵母菌","衛生福利部111年03月22日衛授食字第1110006588號","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=f637837495036031957&type=4","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=f637838264701712302&type=4"
"108","統一企業股份有限公司(楊梅品管課)","326桃園市楊梅區民富路1段301號","(03)4784143#3260","https://www.uni-president.com.tw/other_service/contact.asp","110.08.11","飲料中咖啡因","衛生福利部110年08月11日衛授食字第1101106332號","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=f637643840684750108&type=4","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=f637647014589476135&type=4"
"109","全家便利商店股份有限公司(食品實驗室)","304新竹縣新豐鄉中崙村中崙289-5號3樓","(03)621-1456 #1281","http://www.family.com.tw/Web_EnterPrise/page/index.aspx","111.03.14","生菌數、大腸桿菌、大腸桿菌群","衛生福利部111年03月14日衛授食字第1110602346號","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=f637829537109065827&type=4","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=f637829622214606850&type=4"
"110","行政院原子能委員會核能研究所(環境試樣放射性核種分析實驗室)","325桃園市龍潭區佳安里文化路1000號","03-4711400轉7965","https://www.iner.gov.tw/","110.11.26","放射性核種(碘-131、銫-134、銫-137)","衛生福利部110年11月26日衛授食字第1101109245號","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=f637738663221947631&type=4","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=f637738667464477514&type=4"
"113","行政院原子能委員會輻射偵測中心(行政院原子能委員會輻射偵測中心環境偵測組)","833高雄市鳥松區澄清路823號","03-3709206轉204","https://www.aec.gov.tw/","110.11.26","放射性核種(碘-131、銫-134、銫-137)","衛生福利部110年11月26日衛授食字第1101109251號","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=f637738663222337637&type=4","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=f637746370115479903&type=4"
"114","國立臺東大學(農漁牧產品檢驗中心)","95092臺東縣臺東市大學路二段369號理工學院A棟103室","089-517540","https://wcse.nttu.edu.tw/files/11-1017-7312.php?Lang=zh-tw","111.01.17","殘留農藥-殺菌劑二硫代胺基甲酸鹽類(二)、殘留農藥-(五)","衛生福利部111年01月17日衛授食字第1111100358B號","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=f637781159237800740","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=f637782858683198465&type=4"
"115","光泉牧場股份有限公司(食安實驗室)","337桃園市大園區大觀路1249號","03-386-5185 轉175","http://www.kuangchuan.com/05Visit/Visit0101.aspx","111.01.14","黃麴毒素","衛生福利部111年01月14日衛授食字第1111100341L號","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=f637780377089996444&type=4","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=f637781179477916835&type=4"
"116","長榮空廚股份有限公司(長榮空廚液相層析質譜儀實驗室)","337桃園市大園區航勤北路3號","(03)351-3234","http://www.egsc.com.tw/company/company.htm","111.01.14","三聚氰胺","衛生福利部111年01月14日衛授食字第1111100341F號","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=f637780377088946414&type=4","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=f637781179478666877&type=4"
"117","歐陸食品檢驗股份有限公司(歐陸食品檢驗-台北)","248新北市五股區五工六路25號7樓","(02)7728-3858 轉6630","https://www.eurofins.tw/%E9%97%9C%E6%96%BC%E6%AD%90%E9%99%B8/","111.05.17","殘留農藥-殺菌劑二硫代胺基甲酸鹽類(二)、殘留農藥-多重殘留分析(五)、氯黴素類、四環黴素類、黃麴毒素、黃麴毒素M1、生菌數、大腸桿菌、大腸桿菌群、胺基醣苷類抗生素(一)、胺基醣苷類抗生素(二)、硝基呋喃代謝物、沙門氏桿菌、單核球增多性李斯特菌、乳品中李斯特菌、棒麴毒素、金黃色葡萄球菌、仙人掌桿菌、黴菌及酵母菌、總配醣生物鹼、玉米赤黴毒素、腸桿菌科、動物用藥-多重殘留分析(二)、乙型受體素類、孔雀綠及其代謝產物、離子型抗球蟲藥、抗原蟲劑、抗生素及其代謝物、β-內醯胺類抗生素、卡巴得及其代謝產物","衛生福利部111年05月17日衛授食字第1111103054號","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=f637884827740206105&type=4","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=f637939971824336570&type=4"
"118","國立屏東科技大學(災害防救科技研究中心放射性分析備援實驗室)","91201屏東縣內埔鄉老埤村學府路1號電算中心IB001","(08)770-3202轉6690","http://dpm.npust.edu.tw/bin/home.php","111.01.17","放射性核種(碘-131、銫-134、銫-137)","衛生福利部111年01月17日 衛授食字第1111100358H號","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=f637781174744500233","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=f637782858683668850&type=4"
"119","堂庭檢驗科技股份有限公司(堂庭檢驗科技股份有限公司實驗室)","420台中市南區興大路145號國農大樓8樓823室","04-2285-3086","http://www.tttesting.com.tw/about.php","111.02.10","殘留農藥-多重殘留分析(五)、殘留農藥-殺菌劑二硫代胺基甲酸鹽類(二)","衛生福利部111年02月10日衛授食字第1111106667D號","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=f637804445084859181&type=4","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=f637842477477512915&type=4"
"120","大江生醫股份有限公司農科分公司(大江生醫農科檢驗中心)","908屏東縣長治鄉神農路12號","(08)762-9158轉5552","https://www.facebook.com/pages/%E5%A4%A7%E6%B1%9F%E7%94%9F%E9%86%AB%E8%82%A1%E4%BB%BD%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8%E8%BE%B2%E7%A7%91%E5%88%86%E5%85%AC%E5%8F%B8/189942904391644","111.06.14","黴菌及酵母菌","衛生福利部111年06月14日衛授食字第1111103754號","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=f637909062153937973&type=4","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=f637940748024523551&type=4"
"122","國立陽明交通大學(食品檢驗分析實驗室)","11221台北市北投區立農街二段155號研究大樓一樓103室","(02)2826-7000#5954","https://rmac.ym.edu.tw/","111.06.14","放射性核種(碘-131、銫-134、銫-137)","衛生福利部111年06月14日衛授食字第1111103740號","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=f637909013608668963","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=f637944577373565240&type=4"
"123","臺南市政府衛生局(檢驗中心-林森辦公室)","70151臺南市東區林森路一段418號","(06) 632-2120","http://health.tainan.gov.tw/tnhealth/","111.03.24","防腐劑、亞硝酸鹽、二氧化硫(食品)、硼酸及其鹽類、過氧化氫(食品)、黃麴毒素、包(盛)裝水中溴酸鹽","衛生福利部111年03月24日衛授食字第1119013548號","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=f637463234499238498","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=f637838264298565293&type=4"
"124","捷生國際標準檢驗股份有限公司(捷生國際標準實驗室)","71756台南市仁德區文華路3段428巷65號","(06)2795278","http://www.jsn-isi.com.tw/","110.05.19","黃麴毒素","衛生福利部110年05月19日衛授食字第1101103959號","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=f637571836320458952&type=4","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=f637642085083714256&type=4"
"125","光鹽檢測科技股份有限公司(光鹽檢測科技股份有限公司)","821高雄市路竹區路科二路63號3樓","(07)695-5945","https://www.twincn.com/item.aspx?no=54617592","110.11.26","咖啡中二氯甲烷","衛生福利部110年11月26日衛授食字第1101109249號","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=f637738663222157632&type=4","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=f637738667465267709&type=4"
"126","長榮大學(職業暨環境與食品安全研究中心)","711台南市歸仁區大潭里長大路1號第二教學大樓三樓","(06)2785123#1668","https://dweb.cjcu.edu.tw/oef","111.01.17","包(盛)裝飲用水中重金屬(砷、鉛、鎘、汞、銅、鋅)","衛生福利部111年01月17日 衛授食字第1111100358F號","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=f637781174519499957","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=f637782858684129073&type=4"
"127","衛生福利部食品藥物管理署(中區管理中心食品輻射偵檢室)","408台中市南屯區文心南三路20號3、4樓","02-27878000","http://www.fda.gov.tw/TC/index.aspx","111.01.28","放射性核種(碘-131、銫-134、銫-137)","衛生福利部111年01月28日衛授食字第1111100805F號","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=f637798490120680779&type=4","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=f637799140732925814&type=4"
"128","國立清華大學(放射性核種分析實驗室)","300新竹市光復路二段101號李純敏館1樓","(03)5715131#31173","https://hpd.site.nthu.edu.tw/p/412-1190-3017.php?Lang=zh-tw","111.04.22","放射性核種(碘-131、銫-134、銫-137)","衛生福利部111年04月22日 衛授食字第1111102602B號","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=f637862261208870715","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=f637864914104196959&type=4"
